,precision,recall,f1-score,support
glioma,0.9909502262443439,0.9563318777292577,0.9733333333333334,229.0
meningioma,0.8977272727272727,0.8943396226415095,0.8960302457466919,265.0
no_tumor,0.9251101321585903,0.9859154929577465,0.9545454545454546,213.0
pituitary,0.958041958041958,0.9415807560137457,0.949740034662045,291.0
accuracy,0.9418837675350702,0.9418837675350702,0.9418837675350702,0.9418837675350702
macro avg,0.9429573972930412,0.9445419373355648,0.9434122670718812,998.0
weighted avg,0.9425490952130977,0.9418837675350702,0.941917715792629,998.0
