,precision,recall,f1-score,support
glioma,0.9956140350877193,0.9912663755458515,0.9934354485776805,229.0
meningioma,0.943609022556391,0.9471698113207547,0.9453860640301318,265.0
no_tumor,0.9587155963302753,0.9812206572769953,0.9698375870069605,213.0
pituitary,0.9825174825174825,0.9656357388316151,0.9740034662045061,291.0
accuracy,0.969939879759519,0.969939879759519,0.969939879759519,0.969939879759519
macro avg,0.970114034122967,0.9713231457438042,0.9706656414548198,998.0
weighted avg,0.9701112369173021,0.969939879759519,0.9699743881666008,998.0
