,precision,recall,f1-score,support
glioma,0.9870689655172413,1.0,0.9934924078091106,229.0
meningioma,0.9799196787148594,0.9207547169811321,0.9494163424124513,265.0
no_tumor,0.922077922077922,1.0,0.9594594594594594,213.0
pituitary,1.0,0.9828178694158075,0.9913344887348353,291.0
accuracy,0.9739478957915831,0.9739478957915831,0.9739478957915831,0.9739478957915831
macro avg,0.9722666415775056,0.9758931465992349,0.9734256746039641,998.0
weighted avg,0.9750702458571978,0.9739478957915831,0.9738960853850581,998.0
