,precision,recall,f1-score,support
glioma,0.9909502262443439,0.9563318777292577,0.9733333333333334,229.0
meningioma,0.9274809160305344,0.9169811320754717,0.9222011385199241,265.0
no_tumor,0.9424778761061947,1.0,0.9703872437357631,213.0
pituitary,0.9653979238754326,0.9587628865979382,0.9620689655172414,291.0
accuracy,0.9559118236472945,0.9559118236472945,0.9559118236472945,0.9559118236472945
macro avg,0.9565767355641264,0.9580189741006669,0.9569976702765655,998.0
weighted avg,0.9563012304773715,0.9559118236472945,0.9558428726676834,998.0
